ftitre;fannee;anom;freq
LES INDESTRUCTIBLES 2;2018;BRAD BIRD;5845000
LES TUCHES 3;2018;OLIVIER BAROUX;5687000
LA CH'TITE FAMILLE;2018;DANY BOON;5626000
AVENGERS INFINITY WAR;2018;ANTHONY RUSSO;5143000
LE GRAND BAIN;2018;GILLES LELLOUCHE;4242000
BOHEMIAN RHAPSODY;2018;BRYAN SINGER;4160000
LES ANIMAUX FANSTASTIQUES;2018;DAVID YATES;4019000
ASTERIX ET LE SECRET DE LA POTION MAGIQUE;2018;LOUIS CLICHY;3713000
BLACK PANTHER;2018;RYAN COOGLER;3688000
TAXI 5;2018;FRANCK GASTAMBIDE;3654000
AQUAMAN;2018;JAMES WAN;3081000
TOUT LE MONDE DEBOUT;2018;FRANCK DUBOSC;2417000
READY PLAYER ONE;2018;STEVEN SPIELBERG;2268000
A STAR IS BORN;2018;BRADLEY COOPER;1936000
LE JEU;2018;FRED CAVAYE;1640000
LA FORME DE L'EAU;2018;GUILLERMO DEL TORO;1363000
LA NONNE;2018;CORIN HARDY;1394000
LES VIEUX FOURNEAUX;2018;CHRISTOPHE DUTHURON;922000
PREMIERE ANNEE;2018;THOMAS LILTI;1013000
RED SPARROW;2018;FRANCIS LAWRENCE;803000
OCEAN'S 8;2018;GARY ROSS;790000
EVERYBODY KNOWS;2018;ASGHAR FARHADI;812000
LE RETOUR DU HEROS;2018;LAURENT TIRARD;769000
LA FINALE;2018;ROBIN SYKES;567000
THE GREATEST SHOWMAN;2018;MICHEAL GRACEY;539000
NORMANDIE NUE;2018;PHILIPPE LE GUAY;539000
RAID DINGUE;2017;DANY BOON;4571000
COCO;2017;LEE UNKRICH;4550000
VALERIAN ET LA CITE DES MILLES PLANETES;2017;LUC BESSON;4040000
LA LA LAND;2017;DAMIEN CHAZELLE;2752000
DUNKERQUE;2017;CHRISTOPHER NOLAN;2525000
WONDER WOMAN;2017;PATTY JENKINS;2165000
AU REVOIR LA-HAUT;2017;ALBERT DUPONTEL;2034000
A DANGEROUS METHOD;2011;DAVID CRONENBERG;917522
AFRICA UNITED;2011;DEBS GARDNER-PATERSON;88069
ALVIN ET LES CHIPMUNKS 3;2011;MIKE MITCHELL;4261503
AMERICANO;2011;MATHIEU DEMY;48813
ANGELE ET TONY;2011;ALIX DELAPORTE;374381
ANIMAUX & CIE EN 3D;2011;HOLGER TAPPE REINHARD KLOOSS;1803451
APOLLO 18;2011;GONZALO LOPEZ-GALLEGO;112204
ARRIETTY LE PETIT MONDE DES CHAPARDEURS;2011;HIROMASA YONEBAYASHI;1815603
